Oyun Adı,Fiyat,Oyun Türü,Dil Desteği,Geliştirici,Pegi,URL
Tropico 6,₺399,"Simülasyon, Kumanda Desteği, Strateji, Bulut Kayıtları, Tek Oyunculu, Şehir Kurma, Çapraz Platform, Online Multiplayer",,Limbic Entertainment,PEGI 16,https://store.epicgames.com/tr/p/tropico-6
Tropico 5,₺199,"Simülasyon, RYO, Strateji, Çok Oyunculu, Bulut Kayıtları, Tek Oyunculu","Seslendirme: İngilizce, Fransızca, İtalyanca, Almanca, İspanyolca (İspanya), Rusça      İngilizce, Fransızca, İtalyanca, Almanca, İspanyolca (İspanya), Rusça, Lehçe",Haemimont Games,PEGI 16,https://store.epicgames.com/tr/p/tropico-5
Super Meat Boy Forever,₺67,"Bulut Kayıtları, Platform, Tek Oyunculu, Aksiyon",,Team Meat,PEGI 12,https://store.epicgames.com/tr/p/super-meat-boy-forever
Alien: Isolation,₺379,"Bulut Kayıtları, Tek Oyunculu, Aksiyon","İngilizce, Çekçe, Fransızca, Almanca, İtalyanca, Lehçe, Brezilya Portekizcesi, Rusça, İspanyolca (İspanya)",Creative Assembly,,https://store.epicgames.com/tr/p/alien-isolation
Defense Grid: The Awakening,₺17,"Simülasyon, Strateji, Bulut Kayıtları, Tek Oyunculu, Kule Savunması",,Hidden Path Entertainment,PEGI 12,https://store.epicgames.com/tr/p/defense-grid
The Long Dark,₺575,"Bulut Kayıtları, Hayatta Kalma, Tek Oyunculu, Macera",,Hinterland Studio Inc.,PEGI 16,https://store.epicgames.com/tr/p/the-long-dark
Among Us,₺8,"Online Multiplayer, Basit Eğlence, Eşli, Rekabetçi",,Innersloth,PEGI 7,https://store.epicgames.com/tr/p/among-us
Kosmokrats,₺25,"Macera, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Bulmaca",,Pixel Delusion,,https://store.epicgames.com/tr/p/kosmokrats
Oddworld: New 'n' Tasty,₺33,"Bulmaca, Platform, Tek Oyunculu, Aksiyon",,Just Add Water,,https://store.epicgames.com/tr/p/oddworld-new-n-tasty
The Flower Collectors,₺115,"Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera, Birinci Şahıs",,Mi'pu'mi Games,PEGI 12,https://store.epicgames.com/tr/p/the-flower-collectors
Fell Seal: Arbiter's Mark,₺570,"RYO, Kumanda Desteği, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Sıra Temelli",,6 Eyes Studio LLC.,PEGI 7,https://store.epicgames.com/tr/p/fell-seal-arbiters-mark
Disaster Report 4: Summer Memories,₺560,"Hayatta Kalma, Kumanda Desteği, Aksiyon-Macera, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera",,Granzella Inc.,,https://store.epicgames.com/tr/p/disaster-report-4-summer-memories
Medieval Dynasty,"₺74,50","Simülasyon, RYO, Kumanda Desteği, Aksiyon, Eşli, Bulut Kayıtları, Tek Oyunculu, Çapraz Platform, Online Multiplayer",,Render Cube,PEGI 16,https://store.epicgames.com/tr/p/medieval-dynasty
Cities: Skylines,₺539,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Şehir Kurma",,Colossal Order,PEGI 3,https://store.epicgames.com/tr/p/cities-skylines
Airborne Kingdom,₺39,"Simülasyon, Strateji, Bulut Kayıtları, Tek Oyunculu, Şehir Kurma, Başarılar",,The Wandering Band LLC,,https://store.epicgames.com/tr/p/airborne-kingdom
Calico,₺20,"Simülasyon, Bulut Kayıtları, Açık Dünya, Tek Oyunculu, Basit Eğlence",,Peachy Keen Games,PEGI 3,https://store.epicgames.com/tr/p/calico
Big Pharma,₺800,"Simülasyon, Tek Oyunculu, Bağımsız, Strateji",,Twice Circled,PEGI 3,https://store.epicgames.com/tr/p/big-pharma
SpellForce 3: Versus Edition,"₺67,50","RYO, Online Multiplayer, Strateji, Yerel Çok Oyunculu",,Grimlore Games,PEGI 18,https://store.epicgames.com/tr/p/spellforce-3-versus
SpellForce 3: Fallen God,₺75,"RYO, Tek Oyunculu, Strateji",,Grimlore Games,PEGI 18,https://store.epicgames.com/tr/p/spellforce-3-fallen-god
Werewolf: The Apocalypse - Earthblood,₺115,"Bulut Kayıtları, RYO",,Cyanide Studio,PEGI 16,https://store.epicgames.com/tr/p/werewolf-the-apocalypse-earthblood
Warframe,"₺41,99","Kumanda Desteği, Nişancı, Aksiyon, Eşli, Tek Oyunculu, Online Multiplayer",,Digital Extremes,PEGI 18,https://store.epicgames.com/tr/p/warframe
Shady Part of Me,₺80,"Bulut Kayıtları, Bulmaca, Tek Oyunculu, Bağımsız",,Douze Dixièmes,,https://store.epicgames.com/tr/p/shady-part-of-me
Through the Darkest of Times,₺229,"Simülasyon, Strateji, Bulut Kayıtları, Tek Oyunculu, Macera",,Paintbucket Games,PEGI 16,https://store.epicgames.com/tr/p/through-the-darkest-of-times
Pillars of Eternity - Definitive Edition,₺59,"RYO, Tek Oyunculu",,Obsidian Entertainment,PEGI 16,https://store.epicgames.com/tr/p/pillars-of-eternity
Tyranny - Gold Edition,₺899,"RYO, Macera, Aksiyon","İngilizce, Fransızca, Almanca, İspanyolca (İspanya), Lehçe, Rusça",Obsidian Entertainment,,https://store.epicgames.com/tr/p/tyranny
Orwell's Animal Farm,"₺18,50","Bulut Kayıtları, Tek Oyunculu, Hikaye Anlatımı",,Nerial,,https://store.epicgames.com/tr/p/orwells-animal-farm
Cyberpunk 2077,₺999,"RYO, Kumanda Desteği, Aksiyon, Bulut Kayıtları, Açık Dünya, Tek Oyunculu, Başarılar, Macera",,CD PROJEKT RED,PEGI 18,https://store.epicgames.com/tr/p/cyberpunk-2077
Cave Story+,₺25,"Kumanda Desteği, Platform, Aksiyon, Bulut Kayıtları, Macera",,"Nicalis, Inc./Studio Pixel",,https://store.epicgames.com/tr/p/cave-story-plus
Immortals Fenyx Rising,₺999,"Macera, Aksiyon","İngilizce, Fransızca, İtalyanca, Almanca, İspanyolca (İspanya), Brezilya Portekizcesi, Basitleştirilmiş Çince, Geleneksel Çince, Rusça, Japonca, Lehçe, Arapça, Çekçe, Felemenkçe, Korece",Ubisoft,,https://store.epicgames.com/tr/p/immortals-fenyx-rising
Startup Panic,₺25,"Simülasyon, Tek Oyunculu, Bağımsız, Strateji",,Algo Rocks,,https://store.epicgames.com/tr/p/startup-panic
Chronos: Before the Ashes,₺135,"RYO, Aksiyon-Macera, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Başarılar, Macera","Seslendirme: İngilizce, Fransızca, Almanca, İspanyolca (İspanya), Korece      Lehçe, Brezilya Portekizcesi, Rusça, Basitleştirilmiş Çince",Gunfire Games,PEGI 16,https://store.epicgames.com/tr/p/chronos-before-the-ashes
Twin Mirror,₺139,"Bulut Kayıtları, Macera, Tek Oyunculu, Hikaye Anlatımı","Seslendirme: İngilizce,  İngilizce, Basitleştirilmiş Çince, Fransızca, Almanca, İtalyanca, Brezilya Portekizcesi, Rusça, İspanyolca (İspanya), İspanyolca (Latin Amerika)",DONTNOD Entertainment,,https://store.epicgames.com/tr/p/twin-mirror
Evan's Remains,₺12,"Platform, Bulut Kayıtları, Tek Oyunculu, Bulmaca, Basit Eğlence","Seslendirme: İngilizce      İngilizce, Fransızca, İtalyanca, Almanca, İspanyolca (Latin Amerika), Japonca, Brezilya Portekizcesi, Basitleştirilmiş Çince, Rusça",Maitan69,,https://store.epicgames.com/tr/p/evans-remains
MudRunner,₺109,"Simülasyon, Bulut Kayıtları, Tek Oyunculu",,Saber Interactive,,https://store.epicgames.com/tr/p/mudrunner
Whispers of a Machine,₺25,"Bulut Kayıtları, Bulmaca, Tek Oyunculu, Macera","Seslendirme: İngilizce      İngilizce, Almanca, Fransızca, İtalyanca, Brezilya Portekizcesi, İspanyolca (İspanya)",Clifftop Games | Faravid Interactive,PEGI 12,https://store.epicgames.com/tr/p/whispers-of-a-machine
Production Line,₺875,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Strateji",,Positech Games,,https://store.epicgames.com/tr/p/production-line
Carnival Games,₺699,"Kumanda Desteği, Çok Oyunculu, Parti, Bulut Kayıtları, Tek Oyunculu, Basit Eğlence",,Mass Media Games,,https://store.epicgames.com/tr/p/carnival-games
Iron Harvest,₺50,"Strateji, Çok Oyunculu, Aksiyon, Eşli, Tek Oyunculu, Basit Eğlence",,King Art Games,,https://store.epicgames.com/tr/p/iron-harvest
The World Next Door,₺17,"Aksiyon, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera",,Rose City Games,,https://store.epicgames.com/tr/p/the-world-next-door
Elite Dangerous,₺322,"Online Multiplayer, Tek Oyunculu, Aksiyon, Uzay",,Frontier Developments,PEGI 7,https://store.epicgames.com/tr/p/elite-dangerous
Bridge Constructor: The Walking Dead,"₺18,50","Simülasyon, Strateji, Bulut Kayıtları, Tek Oyunculu, Bulmaca",,ClockStone Software,PEGI 16,https://store.epicgames.com/tr/p/bridge-constructor-the-walking-dead
Assassin's Creed Valhalla,₺1.499,"RYO, Gizlilik, Açık Dünya, Aksiyon",,Ubisoft Montreal,PEGI 18,https://store.epicgames.com/tr/p/assassins-creed-valhalla
Phantom Brigade,₺280,"Bulut Kayıtları, RYO, Tek Oyunculu, Strateji",,Brace Yourself Games,,https://store.epicgames.com/tr/p/phantom-brigade
The Pathless,₺300,"Bulut Kayıtları, Tek Oyunculu, Aksiyon-Macera, Bağımsız",,Giant Squid,PEGI 12,https://store.epicgames.com/tr/p/the-pathless
The Textorcist: The Story of Ray Bibbia,₺25,"Bulut Kayıtları, Tek Oyunculu, Bağımsız, Aksiyon",,MorbidWare,,https://store.epicgames.com/tr/p/the-textorcist
"Warhammer 40,000: Gladius - Relics of War",₺69,"Strateji, Eşli, Bulut Kayıtları, Tek Oyunculu, Sıra Temelli, Online Multiplayer",,Proxy Studios,PEGI 12,https://store.epicgames.com/tr/p/warhammer-40000-gladius-relics-of-war
Bugsnax,₺39,"Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera, Komedi",,Young Horses,PEGI 3,https://store.epicgames.com/tr/p/bugsnax
Neverwinter,,"RYO, Kumanda Desteği, Keşif, Eşli, Online Multiplayer",,Cryptic Studios,PEGI 16,https://store.epicgames.com/tr/p/neverwinter
Observer: System Redux,₺49,"Macera, Tek Oyunculu, Birinci Şahıs, Korku",,Bloober Team,,https://store.epicgames.com/tr/p/observer-system-redux
Dungeons 3,₺299,"Strateji, Çok Oyunculu, Bulut Kayıtları, Tek Oyunculu, Başarılar","Basitleştirilmiş Çince, Çekçe, Fransızca, Almanca, İtalyanca, Rusça, İspanyolca (İspanya), İngilizce, Japonca",Realmforge Studios,PEGI 16,https://store.epicgames.com/tr/p/dungeons-3
Blair Witch,₺49,"Bulut Kayıtları, Tek Oyunculu, Birinci Şahıs, Korku",,Bloober Team,,https://store.epicgames.com/tr/p/blair-witch
Watch Dogs: Legion,₺1.499,"Aksiyon, Eşli, Açık Dünya, Tek Oyunculu, Macera","Seslendirme: İngilizce, Fransızca, İtalyanca, Almanca, İspanyolca (İspanya), Rusça, Japonca,  İspanyolca (Latin Amerika), Felemenkçe, Lehçe, Korece, Geleneksel Çince, Basitleştirilmiş Çince, Arapça",Ubisoft Toronto,PEGI 18,https://store.epicgames.com/tr/p/watch-dogs-legion
CARRION,"₺304,13","Aksiyon, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Korku",,Phobia Game Studio,PEGI 16,https://store.epicgames.com/tr/p/carrion
Empires of the Undergrowth,₺799,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Strateji",,Slug Disco,PEGI 12,https://store.epicgames.com/tr/p/empires-of-the-undergrowth
Ghostrunner,₺169,"Bulut Kayıtları, Tek Oyunculu, Nişancı, Aksiyon",,One More Level ve 3D Realms,,https://store.epicgames.com/tr/p/ghostrunner
Carto,₺33,"Macera, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Bulmaca",,Sunhead Games,,https://store.epicgames.com/tr/p/carto
Hammerting,₺70,"Simülasyon, RYO, Tek Oyunculu, Bulut Kayıtları",,Warpzone Studios,PEGI 7,https://store.epicgames.com/tr/p/hammerting
Pumpkin Jack,₺49,"Platform, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera",,Nicolas Meyssonnier,PEGI 12,https://store.epicgames.com/tr/p/pumpkin-jack
Costume Quest 2,₺25,"Aksiyon-Macera, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Sıra Temelli, Macera",,Double Fine,,https://store.epicgames.com/tr/p/costume-quest-2
Layers of Fear 2,"₺3,30","Bulut Kayıtları, Tek Oyunculu, Bağımsız, Korku","İngilizce, Fransızca, Almanca, İtalyanca, İspanyolca (İspanya), Lehçe, Brezilya Portekizcesi, Rusça, Japonca",Bloober Team SA,,https://store.epicgames.com/tr/p/layers-of-fear-2
Dead Cells,₺39,"Bulut Kayıtları, Tek Oyunculu, Bağımsız, Rogue-lite",,Motion Twin,PEGI 16,https://store.epicgames.com/tr/p/dead-cells
DISC ROOM,"₺231,65","Aksiyon-Macera, Aksiyon, Tek Oyunculu, Bağımsız, Macera",,"Terri, Dose, Kitty and JW",PEGI 16,https://store.epicgames.com/tr/p/disc-room
The Red Lantern,₺39,"Macera, Tek Oyunculu, Bağımsız, Hikaye Anlatımı",,Timberline Studio,PEGI 16,https://store.epicgames.com/tr/p/the-red-lantern
Democracy 4,₺372,"Simülasyon, Strateji, Bulut Kayıtları, Tek Oyunculu, Bağımsız",,Positech Games,PEGI 3,https://store.epicgames.com/tr/p/democracy-4
ScourgeBringer,₺27,"Bulut Kayıtları, Tek Oyunculu, Bağımsız, Aksiyon",,Flying Oak Games,PEGI 12,https://store.epicgames.com/tr/p/scourgebringer
Amnesia: Rebirth,₺49,"Macera, Gizlilik, Tek Oyunculu, Korku",,Frictional Games,PEGI 18,https://store.epicgames.com/tr/p/amnesia-rebirth
Paper Beast,₺27,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera",,Pixel Reef,,https://store.epicgames.com/tr/p/paper-beast
Aquanox Deep Descent,₺135,"Online Multiplayer, Aksiyon-Macera, Aksiyon, Eşli, Bulut Kayıtları, Tek Oyunculu, Macera",,Digital Arrow,PEGI 12,https://store.epicgames.com/tr/p/aquanox-deep-descent
Raji: An Ancient Epic,₺59,"Aksiyon-Macera, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Hikaye Anlatımı, Macera",,Nodding Heads Games,,https://store.epicgames.com/tr/p/raji-an-ancient-epic
Amnesia: A Machine for Pigs,₺33,"Tek Oyunculu, Bağımsız, Birinci Şahıs, Korku",,The Chinese Room,PEGI 16,https://store.epicgames.com/tr/p/amnesia-a-machine-for-pigs
The Jackbox Party Pack 7,₺49,"Parti, Bağımsız, Yerel Çok Oyunculu, Rekabetçi",,"Jackbox Games, Inc.",PEGI 12,https://store.epicgames.com/tr/p/jackbox-party-pack-7
ZOMBI,₺499,Korku,"Felemenkçe, Brezilya Portekizcesi, Japonca",,PEGI 18,https://store.epicgames.com/tr/p/zombi
Neighbours back From Hell,"₺75,57","Bulmaca, Tek Oyunculu, Strateji",,Farbworks & THQ Nordic,PEGI 7,https://store.epicgames.com/tr/p/neighbours-back-from-hell
I Am Dead,₺150,"Macera, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Bulmaca",,Hollow Ponds,PEGI 7,https://store.epicgames.com/tr/p/i-am-dead
Rising Storm 2: Vietnam,₺39,"Strateji, Aksiyon, Rekabetçi, Çok Oyunculu",,,,https://store.epicgames.com/tr/p/rising-storm-2-vietnam
Star Trek Online,,"RYO, Online Multiplayer, Keşif, Eşli",,Cryptic Studios,PEGI 16,https://store.epicgames.com/tr/p/star-trek-online
Assassin's Creed II,₺249,"Gizlilik, Aksiyon-Macera, Tek Oyunculu",,Ubisoft,PEGI 18,https://store.epicgames.com/tr/p/assassins-creed-2
The Solitaire Conspiracy,₺20,"Strateji, Kart Oyunu, Bulut Kayıtları, Tek Oyunculu, Bağımsız",,Bithell Games,,https://store.epicgames.com/tr/p/the-solitaire-conspiracy
STAR WARS™: Squadrons,"₺279,99","Uzay, Çok Oyunculu, Aksiyon, Tek Oyunculu, Çapraz Platform, Başarılar","İngilizce, Fransızca, İspanyolca (İspanya), İtalyanca, Almanca, Lehçe, Rusça, Brezilya Portekizcesi, Japonca, İspanyolca (Meksika), Korece, Basitleştirilmiş Çince, Geleneksel Çince",Motive Studios,PEGI 12,https://store.epicgames.com/tr/p/star-wars-squadrons
Pikuniku,"₺211,35","Eşli, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Macera, Basit Eğlence","Metin - İngilizce, Basitleştirilmiş Çince, Geleneksel Çince, Fransızca, Almanca, İtalyanca, Japonca, Korece, Portekizce, Rusça, İspanyolca (İspanya)",Sectordub,,https://store.epicgames.com/tr/p/pikuniku
Rogue Company,₺186,"Kumanda Desteği, Rekabetçi, Çok Oyunculu, Nişancı, Aksiyon, Eşli, Tek Oyunculu",,First Watch Games,,https://store.epicgames.com/tr/p/rogue-company
Going Under,₺60,"Bulut Kayıtları, Tek Oyunculu, Bağımsız, Zindan Tarayıcısı",,Aggro Crab Games,PEGI 12,https://store.epicgames.com/tr/p/going-under
Port Royale 4,₺399,"Simülasyon, Kumanda Desteği, Strateji, Bulut Kayıtları, Tek Oyunculu, Başarılar","Basitleştirilmiş Çince, İngilizce, Fransızca, Almanca, İtalyanca, Brezilya Portekizcesi, Rusça, İspanyolca (İspanya), Japonca",Gaming Minds Studios,PEGI 12,https://store.epicgames.com/tr/p/port-royale-4
Mafia: Definitive Edition,₺259,"Tek Oyunculu, Nişancı, Aksiyon",,Hangar 13,,https://store.epicgames.com/tr/p/mafia-definitive-edition
Mafia III: Definitive Edition,₺199,"Tek Oyunculu, Nişancı, Aksiyon",İngilizce,Hangar 13,PEGI 18,https://store.epicgames.com/tr/p/mafia-iii-definitive-edition
Mafia II: Definitive Edition,₺199,"Tek Oyunculu, Nişancı, Aksiyon",İngilizce,d3t,PEGI 18,https://store.epicgames.com/tr/p/mafia-ii-definitive-edition
RollerCoaster Tycoon 3 Complete Edition,₺32,"Simülasyon, Tek Oyunculu, Strateji","Metin - İngilizce, İtalyanca, İspanyolca (İspanya), Fransızca, Almanca, Felemenkçe, Norveççe, İsveççe, Danca, Fince",Frontier Developments,PEGI 3,https://store.epicgames.com/tr/p/rollercoaster-tycoon-3-complete-edition
Freedom Fighters,₺25,"Tek Oyunculu, Nişancı, Aksiyon",,IO Interactive A/S,PEGI 16,https://store.epicgames.com/tr/p/freedom-fighters
DRAGON QUEST® XI S: Echoes of an Elusive Age™,₺209,"Bulut Kayıtları, RYO, Tek Oyunculu, Fantezi",,Square Enix,PEGI 12,https://store.epicgames.com/tr/p/dragon-quest-xi-s-echoes-of-an-elusive-age
CastleStorm 2,₺33,"Strateji, Aksiyon, Çok Oyunculu",,Zen Studios,PEGI 16,https://store.epicgames.com/tr/p/castlestorm2
Rocket League®,₺42,"Kumanda Desteği, Rekabetçi, Çok Oyunculu, Yarış, Eşli, Bulut Kayıtları, Tek Oyunculu, Çapraz Platform, Başarılar","İngilizce, Felemenkçe, Fransızca, Almanca, İtalyanca, Japonca, Korece, Lehçe, Brezilya Portekizcesi, Rusça, İspanyolca (İspanya), Türkçe",Psyonix LLC,PEGI 3,https://store.epicgames.com/tr/p/rocket-league
art of rally,"₺499,99","Bulut Kayıtları, Yarış, Kumanda Desteği",,Funselektor Labs Inc.,PEGI 3,https://store.epicgames.com/tr/p/art-of-rally
Crysis Remastered,₺59,"Tek Oyunculu, Nişancı, Aksiyon, Çok Oyunculu",,Crytek,PEGI 16,https://store.epicgames.com/tr/p/crysis-remastered
Stick It To The Man!,₺13,"Platform, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera",,Zoink,,https://store.epicgames.com/tr/p/stick-it-to-the-man
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,₺57,"RYO, Kumanda Desteği, Bulut Kayıtları, Tek Oyunculu, Başarılar, Macera",,Artefacts Studio,,https://store.epicgames.com/tr/p/the-dungeon-of-naheulbeuk
Path of Exile,"₺3.761,21","RYO, Çok Oyunculu, Aksiyon, Eşli, Tek Oyunculu","İngilizce, Fransızca, Almanca, Brezilya Portekizcesi, Rusça, İspanyolca (İspanya), Tayca, Japonca",Grinding Gear Games,PEGI 18,https://store.epicgames.com/tr/p/path-of-exile
As Far As The Eye,₺40,"Simülasyon, Bulut Kayıtları, Sıra Temelli, Strateji","Metin - İngilizce, Fransızca, Almanca, Japonca, Rusça, İspanyolca (İspanya), İspanyolca (Latin Amerika), Lehçe",Unexpected Studio,,https://store.epicgames.com/tr/p/as-far-as-the-eye
The Unfinished Swan,₺120,"Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera, Birinci Şahıs",,Giant Sparrow,PEGI 7,https://store.epicgames.com/tr/p/the-unfinished-swan
Railway Empire,₺299,"Simülasyon, Kumanda Desteği, Strateji, Bulut Kayıtları, Tek Oyunculu, Başarılar","Metin - İngilizce, Almanca, Fransızca, İtalyanca, Lehçe, Rusça, İspanyolca (İspanya), Basitleştirilmiş Çince, Korece, Japonca",Gaming Minds Studios,,https://store.epicgames.com/tr/p/railway-empire
Where The Water Tastes Like Wine,"₺3,10","Bulut Kayıtları, Macera, Tek Oyunculu, Hikaye Anlatımı",,"Dim Bulb Games, Serenity Forge",PEGI 16,https://store.epicgames.com/tr/p/where-the-water-tastes-like-wine
Kingdoms of Amalur: Re-Reckoning,₺185,"RYO, Aksiyon, Tek Oyunculu, Fantezi, Dövüş, Başarılar",,"KAIKO, Big Huge Games",PEGI 18,https://store.epicgames.com/tr/p/kingdoms-of-amalur-re-reckoning
Tony Hawk's™ Pro Skater™ 1 + 2,"₺115,20","Rekabetçi, Aksiyon, Eşli, Bulut Kayıtları, Tek Oyunculu, Spor",,Vicarious Visions,,https://store.epicgames.com/tr/p/tony-hawks-pro-skater-1-and-2
"3 out of 10, EP 5: ""The Rig Is Up!""",,"Macera, Komedi, Keşif, Kumanda Desteği",İngilizce,"Terrible Posture Games, Inc.",,https://store.epicgames.com/tr/p/3-out-of-10-ep-5
WRC 9 FIA World Rally Championship,₺115,"Simülasyon, Rekabetçi, Çok Oyunculu, Yarış, Bulut Kayıtları, Tek Oyunculu, Spor",,KT Racing,PEGI 3,https://store.epicgames.com/tr/p/wrc-9
Diabotical,₺99,"Online Multiplayer, Rekabetçi, Nişancı, Bulut Kayıtları, Macera",,The GD Studio,PEGI 3,https://store.epicgames.com/tr/p/diabotical
Windbound,"₺249,44","Hayatta Kalma, RYO, Aksiyon-Macera, Aksiyon, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Macera",,5 Lives Studios,,https://store.epicgames.com/tr/p/windbound
Surgeon Simulator 2,₺33,"Simülasyon, Çok Oyunculu, Parti, Aksiyon, Eşli, Tek Oyunculu, Bulmaca, Komedi",,Bossa Studios,,https://store.epicgames.com/tr/p/surgeon-simulator-2
"3 out of 10, EP 4: ""Thank You For Being An Asset""",,"Macera, Komedi, Keşif, Kumanda Desteği",,"Terrible Posture Games, Inc.",,https://store.epicgames.com/tr/p/3-out-of-10-ep-4
Shadowrun Returns,₺270,"Sıra Temelli, RYO","İngilizce, Fransızca, İtalyanca, İspanyolca (İspanya), Almanca, Rusça",Harebrained Schemes,,https://store.epicgames.com/tr/p/shadowrun-returns
Shadowrun Hong Kong - Extended Edition,₺359,"Sıra Temelli, RYO, Bağımsız",İngilizce,Harebrained Schemes,,https://store.epicgames.com/tr/p/shadowrun-hong-kong
Alluris,"₺18,50","RYO, Kumanda Desteği, Kart Oyunu, Bulut Kayıtları, Macera",,562 Interactive,,https://store.epicgames.com/tr/p/alluris
A Juggler's Tale,₺28,"Kumanda Desteği, Platform, Macera, Bulut Kayıtları, Tek Oyunculu, Bulmaca","İngilizce, Fransızca, Basitleştirilmiş Çince, İtalyanca, Japonca, Korece, Brezilya Portekizcesi, Rusça, İspanyolca (İspanya), Almanca",kaleidoscube,,https://store.epicgames.com/tr/p/a-jugglers-tale
Might & Magic Heroes VII Ultimate Edition,₺1.149,"Sıra Temelli, Strateji, Sıra Temelli Strateji",,Limbic Entertainment,PEGI 16,https://store.epicgames.com/tr/p/might-and-magic-heroes-7
No Straight Roads: Encore Edition,₺39,"Açık Dünya, Tek Oyunculu, Aksiyon",,Metronomik,PEGI 12,https://store.epicgames.com/tr/p/no-straight-roads
Relicta,₺31,"Bulut Kayıtları, Bulmaca, Tek Oyunculu, Hikaye Anlatımı",İngilizce,Mighty Polygon,,https://store.epicgames.com/tr/p/relicta
New Super Lucky's Tale,₺49,"Kumanda Desteği, Platform, Aksiyon-Macera, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera",,Playful Studios,PEGI 3,https://store.epicgames.com/tr/p/new-super-luckys-tale
"3 out of 10, EP 3: ""Pivot Like A Champion""",,"Macera, Komedi, Keşif",,"Terrible Posture Games, Inc.",,https://store.epicgames.com/tr/p/3-out-of-10-ep3
God's Trigger,"₺25,50","Bağımsız, Aksiyon","İngilizce, Basitleştirilmiş Çince, Almanca, İtalyanca, Lehçe, Rusça, İspanyolca (İspanya), Japonca, Brezilya Portekizcesi, Fransızca",One More Level,,https://store.epicgames.com/tr/p/gods-trigger
Spiritfarer®: Farewell Edition,₺50,"Simülasyon, Platform, Eşli, Tek Oyunculu, Bağımsız","İngilizce, Basitleştirilmiş Çince, Geleneksel Çince, Fransızca, Almanca, İtalyanca, Brezilya Portekizcesi, Rusça, İspanyolca (İspanya), Japonca, Korece",Thunder Lotus,,https://store.epicgames.com/tr/p/spiritfarer
Rogue Legacy 2,₺39,"Kumanda Desteği, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Başarılar",,Cellar Door Games,,https://store.epicgames.com/tr/p/rogue-legacy-2
Far Cry 2: Standard Edition,₺249,"Tek Oyunculu, Aksiyon","Seslendirme +  İngilizce, Fransızca, İtalyanca, Almanca, İspanyolca",Ubisoft Montreal,PEGI 16,https://store.epicgames.com/tr/p/far-cry-2
Far Cry,₺249,Aksiyon,"Seslendirme +  İngilizce, Fransızca, Almanca",Crytek Studios,PEGI 16,https://store.epicgames.com/tr/p/far-cry
Mortal Shell,₺119,"Bulut Kayıtları, RYO, Tek Oyunculu, Bağımsız",,Cold Symmetry,PEGI 16,https://store.epicgames.com/tr/p/mortal-shell
Kill It With Fire,₺25,"Simülasyon, Tek Oyunculu, Bağımsız","İngilizce, Basitleştirilmiş Çince, Fransızca, Almanca, İtalyanca, Japonca, Korece, Brezilya Portekizcesi, Rusça, İspanyolca (İspanya), Felemenkçe",Casey Donnellan Games LLC,,https://store.epicgames.com/tr/p/kill-it-with-fire
Alto Koleksiyonu,₺17,"Macera, Tek Oyunculu, Bağımsız, Başarılar","Basitleştirilmiş Çince, Geleneksel Çince, Danca, Felemenkçe, İngilizce, Fransızca, Almanca, Yunanca, Japonca, Korece, İtalyanca, Lehçe, Brezilya Portekizcesi, Rusça, Türkçe, İsveççe, İspanyolca (İspanya), Norveççe",Team Alto,,https://store.epicgames.com/tr/p/the-alto-collection
"3 out of 10, EP 2: ""Foundation 101""",,"Macera, Komedi, Tek Oyunculu, Keşif",İngilizce,"Terrible Posture Games, Inc.",,https://store.epicgames.com/tr/p/3-out-of-10-ep-2
Remnant: From the Ashes,"₺950,57","Online Multiplayer, Nişancı, Aksiyon, Eşli",,Gunfire Games,PEGI 16,https://store.epicgames.com/tr/p/remnant-from-the-ashes
Milky Way Prince – The Vampire Star,₺25,"Korku, Tek Oyunculu, Bağımsız, Hikaye Anlatımı",,Lorenzo Redaelli / Eyeguys,,https://store.epicgames.com/tr/p/milky-way-prince-the-vampire-star
