Oyun Adı,Fiyat,Oyun Türü,Dil Desteği,Geliştirici,Pegi,URL
theHunter: Call of the Wild™,₺32,"Simülasyon, Eşli, Açık Dünya, Tek Oyunculu, Çapraz Platform, Online Multiplayer, Birinci Şahıs",,Expansive Worlds,PEGI 16,https://store.epicgames.com/tr/p/thehunter-call-of-the-wild
The Last of Us™ Part II Remastered,₺1.249,"Aksiyon, Bulut Kayıtları, Tek Oyunculu, Başarılar, Macera",,"Naughty Dog LLC, Nixxes Software, Iron Galaxy",PEGI 18,https://store.epicgames.com/tr/p/the-last-of-us-part-ii-remastered
Anno 117: Pax Romana,₺1.749,"Simülasyon, Şehir Kurma, Strateji",,Ubisoft Entertainment,PEGI 12,https://store.epicgames.com/tr/p/anno-117-pax-romana
HITMAN Suikast Dünyası,₺419,"Kumanda Desteği, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Gizlilik","İngilizce, Fransızca, İtalyanca, Almanca, İspanyolca (İspanya)",IO Interactive A/S,PEGI 18,https://store.epicgames.com/tr/p/hitman-3
Among Us,₺8,"Online Multiplayer, Basit Eğlence, Eşli, Rekabetçi",,Innersloth,PEGI 7,https://store.epicgames.com/tr/p/among-us
BeamNG.drive,₺349,"Simülasyon, Kumanda Desteği, Yarış, Tek Oyunculu",,BeamNG,PEGI 3,https://store.epicgames.com/tr/p/beamngdrive-7f5f3a
Docked,₺999,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Kumanda Desteği",,Saber Interactive,PEGI 3,https://store.epicgames.com/tr/p/docked-047613
Bloons TD 6,₺160,"Strateji, Eşli, Tek Oyunculu, Çapraz Platform, Online Multiplayer",,Ninja Kiwi,PEGI 3,https://store.epicgames.com/tr/p/bloons-td-6-bf95a0
The Lord of the Rings™: Return to Moria™,₺419,"Hayatta Kalma, Aksiyon-Macera, Eşli, Bulut Kayıtları, Online Multiplayer",,Free Range Games,PEGI 12,https://store.epicgames.com/tr/p/the-lord-of-the-rings-return-to-moria-f01344
God of War Ragnarök,₺1.499,"Bulut Kayıtları, Tek Oyunculu, Aksiyon-Macera, Kumanda Desteği",,"Santa Monica Studio, Jetpack Interactive",PEGI 18,https://store.epicgames.com/tr/p/god-of-war-ragnarok-3ca641
Ready or Not,₺699,"Kumanda Desteği, Strateji, Nişancı, Eşli, Tek Oyunculu, Çapraz Platform, Online Multiplayer, Birinci Şahıs",,VOID Interactive,PEGI 18,https://store.epicgames.com/tr/p/ready-or-not-d82a11
Werewolf: The Apocalypse - Earthblood,₺115,"Bulut Kayıtları, RYO",,Cyanide Studio,PEGI 16,https://store.epicgames.com/tr/p/werewolf-the-apocalypse-earthblood
John Carpenter's Toxic Commando,₺2.000,"Macera, Tek Oyunculu, Aksiyon, Çok Oyunculu",,Saber Interactive,PEGI 18,https://store.epicgames.com/tr/p/john-carpenters-toxic-commando
The Elder Scrolls Online,₺349,"RYO, Eşli, Açık Dünya, Tek Oyunculu, Online Multiplayer",,ZeniMax Online Studios,PEGI 18,https://store.epicgames.com/tr/p/the-elder-scrolls-online
The Last of Us™ Part I,₺1.099,"Macera, Tek Oyunculu, Aksiyon",,Naughty Dog LLC,PEGI 18,https://store.epicgames.com/tr/p/the-last-of-us-part-1
Borderlands®4,₺2.900,"RYO, Kumanda Desteği, Nişancı, Eşli, Bulut Kayıtları, Tek Oyunculu, Çapraz Platform",,Gearbox,PEGI 18,https://store.epicgames.com/tr/p/borderlands-4
Jurassic World Evolution 3,₺1.750,"Simülasyon, Kumanda Desteği, Strateji, Bulut Kayıtları, Tek Oyunculu",,Frontier Developments,PEGI 16,https://store.epicgames.com/tr/p/jurassic-world-evolution-3-5017ec
Crosshair X,₺67,"Bulut Kayıtları, Nişancı, Rekabetçi, Kumanda Desteği",,CenterPoint Gaming,PEGI 3,https://store.epicgames.com/tr/p/crosshair-x-5d70eb
REANIMAL,₺1.749,"Kumanda Desteği, Online Multiplayer, Eşli, Tek Oyunculu, Macera, Korku",,Tarsier Studios,PEGI 18,https://store.epicgames.com/tr/p/reanimal
Sid Meier's Civilization® VI,₺1.499,"Strateji, Sıra Temelli Strateji, Rekabetçi, Çok Oyunculu, Tek Oyunculu, Sıra Temelli",,Firaxis Games,,https://store.epicgames.com/tr/p/sid-meiers-civilization-vi
Hell Let Loose,₺1.999,"Online Multiplayer, Nişancı, Birinci Şahıs, Rekabetçi",,Team17,PEGI 16,https://store.epicgames.com/tr/p/hell-let-loose-03f036
ARK: Survival Evolved,₺115,"RYO, Hayatta Kalma, Tek Oyunculu, Macera",,Studio Wildcard,PEGI 16,https://store.epicgames.com/tr/p/ark
ARK: Survival Ascended,"₺1.888,15","Hayatta Kalma, Çok Oyunculu, Eşli, Tek Oyunculu, Çapraz Platform",,Studio Wildcard,,https://store.epicgames.com/tr/p/ark-survival-ascended
F1® 25,"₺2.199,99","Simülasyon, Yarış, Eşli, Tek Oyunculu, Online Multiplayer, Spor",,Codemasters,PEGI 3,https://store.epicgames.com/tr/p/f1-25-0729b0
Dying Light: The Beast,₺1.738,"Kumanda Desteği, Aksiyon-Macera, Eşli, Bulut Kayıtları, Tek Oyunculu, Birinci Şahıs, Korku",,Techland,PEGI 18,https://store.epicgames.com/tr/p/dying-light-the-beast-60a36c
Mount & Blade II,₺999,"Simülasyon, RYO, Strateji, Aksiyon, Tek Oyunculu, Online Multiplayer",,TaleWorlds Entertainment,PEGI 16,https://store.epicgames.com/tr/p/mount-and-blade-2
Disney Dreamlight Valley,"₺679,99","Simülasyon, Macera, Tek Oyunculu",,Gameloft,PEGI 3,https://store.epicgames.com/tr/p/disney-dreamlight-valley
The Outlast Trials,₺269,"Hayatta Kalma, Kumanda Desteği, Eşli, Tek Oyunculu, Çapraz Platform, Online Multiplayer, Korku",,Red Barrels,PEGI 18,https://store.epicgames.com/tr/p/the-outlast-trials
Marvel's Spider-Man Remastered,₺1.099,"Kumanda Desteği, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera",,"Insomniac Games, Nixxes Software",PEGI 16,https://store.epicgames.com/tr/p/marvels-spider-man-remastered
God of War,₺899,"RYO, Rekabetçi, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera",,Santa Monica Studio,PEGI 18,https://store.epicgames.com/tr/p/god-of-war
Detroit: Become Human,₺142,"Tek Oyunculu, Hikaye Anlatımı, Aksiyon",,Quantic Dream,,https://store.epicgames.com/tr/p/detroit-become-human
Clair Obscur: Expedition 33,₺820,"Bulut Kayıtları, RYO, Tek Oyunculu, Aksiyon",,Sandfall Interactive,PEGI 18,https://store.epicgames.com/tr/p/expedition-33-b3240d
Hogwarts Legacy,₺2.099,"RYO, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Başarılar, Macera",,Avalanche Software,PEGI 12,https://store.epicgames.com/tr/p/hogwarts-legacy
Ghost of Tsushima YÖNETMENİN SÜRÜMÜ,₺1.499,"Çok Oyunculu, Aksiyon, Eşli, Bulut Kayıtları, Tek Oyunculu, Başarılar, Macera",,"Sucker Punch Productions, Nixxes Software",PEGI 18,https://store.epicgames.com/tr/p/ghost-of-tsushima
Chivalry 2,₺69,"Kumanda Desteği, Birinci Şahıs, Aksiyon, Çok Oyunculu",,Torn Banner Studios,,https://store.epicgames.com/tr/p/chivalry-2
Age of Barbarians Chronicles,₺261,"RYO, Kumanda Desteği, Aksiyon, Eşli, Tek Oyunculu, Yerel Çok Oyunculu, Zindan Tarayıcısı",,Crian Soft,PEGI 16,https://store.epicgames.com/tr/p/age-of-barbarians-chronicles-fce9e3
Kingdom Come: Deliverance II,₺1.530,"RYO, Kumanda Desteği, Aksiyon, Bulut Kayıtları, Açık Dünya, Tek Oyunculu",,Warhorse Studios,PEGI 18,https://store.epicgames.com/tr/p/kingdom-come-deliverance-2-664783
The Legend of Khiimori,₺1.200,"Kumanda Desteği, Keşif, Açık Dünya, Tek Oyunculu, Macera",,Aesir Interactive,PEGI 12,https://store.epicgames.com/tr/p/the-legend-of-khiimori-c6f4db
