Oyun Adi,Fiyat,URL,Diller,PEGI,Platformlar
Split Fiction - Friend's Pass,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/split-fiction-friends-pass/9NZV0DZQP4QM/0010,10 Dil,N/A,Bilgisayar | Xbox Series X|S
REANIMAL,"1.749,00 ₺+",https://www.xbox.com/tr-TR/games/store/reanimal/9N67DHNP2M0T/0010,15 Dil,N/A,Bilgisayar | Xbox Series X|S | Handheld
Kingdom Come: Deliverance - Royal Edition,"1.398,00 ₺+",https://www.xbox.com/tr-TR/games/store/kingdom-come-deliverance-royal-edition/BQJKD0DJ1Q8J/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
TCG Card Shop Simulator (Game Preview),"819,00 ₺",https://www.xbox.com/tr-TR/games/store/tcg-card-shop-simulator-game-preview/9P9GX5D8H9DW/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Hogwarts Legacy,"389,85 ₺+",https://www.xbox.com/tr-TR/games/store/hogwarts-legacy/9MT5NJ5W7B8Z/0010,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
NHL 26 Standard Edition Xbox Series X|S,"1.159,99 ₺+",https://www.xbox.com/tr-TR/games/store/nhl-26-standard-edition-xbox-series-xs/9N5KC05F95XM/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Who's Your Daddy?!,"65,00 ₺",https://www.xbox.com/tr-TR/games/store/whos-your-daddy/9NG3C8RL2SLN/0010,1 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Red Dead Redemption,"1.749,00 ₺+",https://www.xbox.com/tr-TR/games/store/red-dead-redemption/9P5B3ZVDK19D/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Dead Island Definitive Collection,"65,00 ₺",https://www.xbox.com/tr-TR/games/store/dead-island-definitive-collection/BPQT0CXNCMRK/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Aimlabs,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/aimlabs/9P7CM8QNR6QH/0010,1 Dil,N/A,Bilgisayar | Xbox Series X|S
Poppy Playtime: Chapter 4,"56,25 ₺",https://www.xbox.com/tr-TR/games/store/poppy-playtime-chapter-4/9N31K5CWW4K8/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Among Us,"14,00 ₺+",https://www.xbox.com/tr-TR/games/store/among-us/9NG07QJNK38J/0010,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Trackmania®,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/trackmania/9N01MR5LF53S/0010,16 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Poppy Playtime: Chapter 2,"28,75 ₺",https://www.xbox.com/tr-TR/games/store/poppy-playtime-chapter-2/9NZN01GKH29D/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Poppy Playtime Toybox 1,"1.029,00 ₺",https://www.xbox.com/tr-TR/games/store/poppy-playtime-toybox-1/9P3Q4X3NDTVS/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
HITMAN WOA Free Demo ft. Patient Zero Requiem,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/hitman-woa-free-demo-ft-patient-zero-requiem/9NVJWR50KRXX/0010,8 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Enlisted,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/enlisted/9NHKL695M9F2/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Warface: Clutch,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/warface-clutch/BQ49WQ00XTWX/0001,12 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Zenless Zone Zero,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/zenless-zone-zero/9N4X0WFZ2STM/0010,12 Dil,N/A,Bilgisayar | Xbox Series X|S
Crimson Desert Deluxe Sürüm,"3.449,00 ₺",https://www.xbox.com/tr-TR/games/store/crimson-desert-deluxe-surum/9PF7H9KVDBX3/0017,14 Dil,N/A,Bilgisayar | Xbox Series X|S
The First Descendant,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/the-first-descendant/9P8FBXKMCLWC/0010,12 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Call of Duty®: Black Ops,"719,99 ₺+",https://www.xbox.com/tr-TR/games/store/call-of-duty-black-ops/BVMGCSX6XPC9/0001,8 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Fortnite Balistik,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/fortnite-balistik/9NTWMW2L2B3D/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
NBA 2K26 Superstar Edition,"3.600,00 ₺+",https://www.xbox.com/tr-TR/games/store/nba-2k26-superstar-edition/9NTMWS185JZT/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Poppy Playtime: Chapter 3,"42,50 ₺",https://www.xbox.com/tr-TR/games/store/poppy-playtime-chapter-3/9N2XTQT0D3PX/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
PGA TOUR 2K25,"2.599,00 ₺+",https://www.xbox.com/tr-TR/games/store/pga-tour-2k25/9MWJ5DWVFVGW/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
3on3 FreeStyle,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/3on3-freestyle/BQF41W70ZLSV/0001,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
UFC™ 5,"2.899,99 ₺+",https://www.xbox.com/tr-TR/games/store/ufc-5/9NH8K4B707H0/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Valheim (Oyun ön izleme),"550,00 ₺",https://www.xbox.com/tr-TR/games/store/valheim-oyun-on-izleme/9NCBL78CG9N7/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Ultimate General: Civil War,"1.229,00 ₺",https://www.xbox.com/tr-TR/games/store/ultimate-general-civil-war/9PMS5K27W1LK/0010,8 Dil,N/A,Bilgisayar | Xbox Series X|S | Handheld
Off The Grid (Game Preview),Ücretsiz+,https://www.xbox.com/tr-TR/games/store/off-the-grid-game-preview/9P87KLGFFB0H/0010,9 Dil,N/A,Bilgisayar | Xbox Series X|S
Injustice™ 2,"140,00 ₺+",https://www.xbox.com/tr-TR/games/store/injustice-2/BPKVH4C4XV4N/0001,11 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
SPLITGATE: Arena Reloaded,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/splitgate-arena-reloaded/9PF5Q1B0FHSL/0010,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Call of Duty®: Modern Warfare® 2,"39,35 ₺+",https://www.xbox.com/tr-TR/games/store/call-of-duty-modern-warfare-2/C2NNGCPR2XP8/0001,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Yu-Gi-Oh! Master Duel,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/yu-gi-oh-master-duel/9N9GL8NX4WW8/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Coloring Book,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/coloring-book/9P4W8H2HNLN4/0010,2 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
The Walking Dead: Season Two,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/the-walking-dead-season-two/BRFKNLB9B2ZW/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Mortal Shell: Enhanced Edition,"14,04 ₺+",https://www.xbox.com/tr-TR/games/store/mortal-shell-enhanced-edition/9PC2BJDXR2LK/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Crimson Desert,"2.999,00 ₺",https://www.xbox.com/tr-TR/games/store/crimson-desert/9NDMB2SMQ5Q7/0017,14 Dil,N/A,Bilgisayar | Xbox Series X|S
Ready or Not: Digital Deluxe Edition,"2.199,99 ₺+",https://www.xbox.com/tr-TR/games/store/ready-or-not-digital-deluxe-edition/9PGSCVZP98QG/0010,12 Dil,N/A,Bilgisayar | Xbox Series X|S
Microsoft Treasure Hunt,Ücretsiz,https://www.xbox.com/tr-TR/games/store/microsoft-treasure-hunt/9WZDNCRFHW9G/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
LEGO® Fortnite: Odyssey,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/lego-fortnite-odyssey/9PJFMVBP16CT/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
