oyun_adi,platform,cihaz_turu,kategori,yas_siniri,fiyat,gelistirici,tehlikeli_kategori,tehlikeli_oyun
Borderlands'den Yeni Masallar,Epic Games,"PC, Konsol","Macera, Tek Oyunculu, Aksiyon, Başarılar",18,22.44,Gearbox Software,0,0
Fallout 3: Game of the Year Edition,Epic Games,PC,"RYO, Bulut Kayıtları, Açık Dünya, Tek Oyunculu, Macera",18,4.47,Bethesda Game Studios,0,0
The Pegasus Expedition,Epic Games,PC,"Sıra Temelli, Macera, Tek Oyunculu, Strateji",16,8.98,Kalla Gameworks,0,0
Fallout Tactics: Brotherhood of Steel,Epic Games,PC,"RYO, Strateji, Sıra Temelli Strateji, Bulut Kayıtları, Tek Oyunculu",16,2.0,14° East,0,0
Fallout 2: A Post Nuclear Role Playing Game,Epic Games,PC,"Bulut Kayıtları, RYO, Açık Dünya, Tek Oyunculu",16,2.0,Bethesda Game Studios,0,0
Fallout: A Post Nuclear Role Playing Game,Epic Games,PC,"Bulut Kayıtları, RYO, Açık Dünya, Tek Oyunculu",16,2.0,Bethesda Game Studios,0,0
Urbek City Builder,Epic Games,PC,"Tek Oyunculu, Şehir Kurma",3,5.82,Estudios Kremlinois,0,0
The Valiant,Epic Games,"PC, Konsol","RYO, Strateji, Çok Oyunculu, Eşli, Tek Oyunculu",16,5.59,KITE Games,0,0
Ghostbusters: Spirits Unleashed Ecto Edition,Epic Games,"PC, Konsol","Rekabetçi, Nişancı, Tek Oyunculu, Online Multiplayer, Korku",12,3.35,IllFonic,1,0
Zelter,Epic Games,PC,"Hayatta Kalma, Tek Oyunculu, Aksiyon",16,3.35,G1 Playground,0,0
Mars Base,Epic Games,PC,"Simülasyon, Macera, Tek Oyunculu",7,0.74,Khuong Le,0,0
Scorn,Epic Games,"PC, Konsol","Kumanda Desteği, Macera, Tek Oyunculu, Bulmaca, Korku",18,8.2,Ebb Software,1,0
Five Dates,Epic Games,"PC, Konsol","Simülasyon, Kumanda Desteği, Tek Oyunculu, Bağımsız, Macera",16,4.0,"Wales Interactive, Good Gate Media",0,0
SuchArt: Genius Artist Simulator,Epic Games,PC,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Birinci Şahıs",3,6.72,Voolgi,0,0
Darkwood,Epic Games,"PC, Konsol","Hayatta Kalma, Kumanda Desteği, Tek Oyunculu, Bağımsız, Korku",18,8.96,Acid Wizard Studio,1,0
Atari Mania,Epic Games,"PC, Konsol","Kumanda Desteği, Tek Oyunculu, Aksiyon-Macera",7,0.88,iLLOGIKA Studios,0,0
LEGO® Bricktales,Epic Games,"PC, Konsol","Macera, Tek Oyunculu, Basit Eğlence, Kumanda Desteği",7,6.29,ClockStone,0,0
A Hero's Rest: An RPG Town Simulator,Epic Games,PC,"Simülasyon, RYO, Tek Oyunculu, Şehir Kurma",7,7.84,Vanargand Games,0,0
Asterigos: Curse of the Stars,Epic Games,"PC, Konsol","RYO, Kumanda Desteği, Aksiyon, Tek Oyunculu, Macera",12,6.27,Acme Gamestudio,0,0
Achilles: Legends Untold,Epic Games,"PC, Konsol","RYO, Kumanda Desteği, Aksiyon-Macera, Eşli, Bağımsız, Tek Oyunculu",18,6.72,Dark Point Games S.A.,0,0
SuperPower 3,Epic Games,PC,"Simülasyon, Strateji, Eşli, Tek Oyunculu, Online Multiplayer",18,3.14,GolemLabs,0,0
Slain: Back From Hell,Epic Games,"PC, Konsol","Tek Oyunculu, Platform",7,2.22,Steel Mantis,0,0
The Elder Scrolls V: Skyrim Special Edition,Epic Games,PC,"RYO, Bulut Kayıtları, Açık Dünya, Tek Oyunculu, Macera",18,7.84,Bethesda Game Studios,0,0
The Complex,Epic Games,"PC, Konsol","Macera, Tek Oyunculu, Kumanda Desteği",18,4.0,"Wales Interactive, Good Gate Media",0,0
Monster Outbreak,Epic Games,PC,"RYO, Strateji, Rekabetçi, Aksiyon-Macera, Eşli, Tek Oyunculu",7,0.56,GameMunchers,1,0
Monorail Stories,Epic Games,PC,"Eşli, Macera, Bağımsız, Tek Oyunculu, Yerel Çok Oyunculu, Online Multiplayer, Basit Eğlence",7,1.86,Stelex Software,0,0
Despot's Game,Epic Games,"PC, Konsol","Strateji, Rekabetçi, Rogue-lite, Tek Oyunculu, Komedi",12,2.92,Konfa Games,1,0
Q.U.B.E. 10th Anniversary,Epic Games,"PC, Konsol","Bulmaca, Tek Oyunculu, Birinci Şahıs, Macera",3,0.74,Toxic Games,0,0
The Spirit and the Mouse,Epic Games,"PC, Konsol","Kumanda Desteği, Platform, Macera, Tek Oyunculu, Bulmaca",7,6.4,Alblune,0,0
Call of Cthulhu,Epic Games,"PC, Konsol","Macera, Tek Oyunculu, Korku",18,2.9,Cyanide Studio,1,0
Slime Rancher 2,Epic Games,"PC, Konsol","Bulut Kayıtları, Tek Oyunculu, Birinci Şahıs, Keşif",3,1.1,Monomi Park,0,0
SpiderHeck,Epic Games,"PC, Konsol","Çok Oyunculu, Aksiyon, Eşli, Tek Oyunculu, Bağımsız",7,2.67,Neverjam,0,0
Gloomhaven,Epic Games,"PC, Konsol","RYO, Kumanda Desteği, Strateji, Eşli, Tek Oyunculu, Çapraz Platform, Sıra Temelli, Online Multiplayer",12,1.33,"Flaming Fowl Studios, and Saber Interactive Minsk",0,0
Serial Cleaners,Epic Games,"PC, Konsol","Simülasyon, Kumanda Desteği, Strateji, Aksiyon, Bulut Kayıtları, Tek Oyunculu",16,2.9,Draw Distance S.A.,0,0
Beacon Pines,Epic Games,"PC, Konsol","Kumanda Desteği, Keşif, Tek Oyunculu, Hikaye Anlatımı, Macera",12,3.35,Hiding Spot,0,0
ANNO: Mutationem,Epic Games,"PC, Konsol","RYO, Kumanda Desteği, Aksiyon-Macera, Tek Oyunculu, Bağımsız",12,4.02,ThinkingStars,0,0
Tails of Iron,Epic Games,"PC, Konsol","RYO, Kumanda Desteği, Platform, Aksiyon-Macera, Tek Oyunculu",16,10.78,Odd Bug Studio,0,0
Blankos Block Party,Epic Games,PC,"Kumanda Desteği, Platform, Rekabetçi, Çok Oyunculu, Parti, Aksiyon, Tek Oyunculu",18,,"Mythical, Inc., Third Kind Games",1,0
Bear and Breakfast,Epic Games,"PC, Konsol","Simülasyon, Macera, Tek Oyunculu, Basit Eğlence",12,4.27,Gummy Cat,0,0
Tour de France 2022,Epic Games,"PC, Konsol","Simülasyon, Tek Oyunculu, Spor",3,3.86,Cyanide,0,0
Lovecraft's Untold Stories 2,Epic Games,PC,"Hayatta Kalma, Tek Oyunculu, Rogue-lite",16,8.98,LLC Blini Games,0,0
XIII,Epic Games,"PC, Konsol","Tek Oyunculu, Aksiyon, Yerel Çok Oyunculu",16,12.92,Tower 5,0,0
Haimrik,Epic Games,PC,"Tek Oyunculu, Aksiyon-Macera",16,4.94,Below the Game,0,0
Project Pastorate,Epic Games,PC,"Macera, Tek Oyunculu, Bağımsız, Kart Oyunu",16,1.5,PsyRob,0,0
Gift of Parthax,Epic Games,PC,"Tek Oyunculu, Aksiyon",7,3.41,Foldergeist Studios,0,0
Space Rangers HD: A War Apart,Epic Games,PC,"RYO, Tek Oyunculu, Strateji, Aksiyon",12,6.85,SNK Games / Elemental Games / Katauri Interactive,0,0
Tower Princess,Epic Games,PC,"Kumanda Desteği, Aksiyon, Tek Oyunculu, Bağımsız, Macera",3,2.22,AweKteaM,0,0
Kaichu - The Kaiju Dating Sim!,Epic Games,PC,"Kumanda Desteği, Keşif, Bağımsız, Tek Oyunculu, Komedi",12,3.59,Squiddershins,0,0
Asterix & Obelix: Slap them All!,Epic Games,"PC, Konsol","Tek Oyunculu, Aksiyon, Eşli",7,15.16,Mr. Nutz Studio,0,0
Call of the Wild: The Angler™,Epic Games,"PC, Konsol","Simülasyon, Bulut Kayıtları, Açık Dünya, Tek Oyunculu, Basit Eğlence",7,1.1,Expansive Worlds,0,0
Commandos 3 - HD Remaster,Epic Games,"PC, Konsol","Kumanda Desteği, Gizlilik, Tek Oyunculu, Strateji",16,4.49,Raylight Games,0,0
Fireburst,Epic Games,PC,"Yarış, Aksiyon-Macera, Tek Oyunculu",3,1.71,exDream,0,0
Ankh 3: Battle of the Gods,Epic Games,PC,"Macera, Tek Oyunculu",3,0.29,Deck 13,0,0
Ankh 2: Heart of Osiris,Epic Games,PC,"Macera, Tek Oyunculu",3,0.18,Deck 13,0,0
I Was a Teenage Exocolonist,Epic Games,"PC, Konsol","Simülasyon, RYO, Kumanda Desteği, Kart Oyunu, Tek Oyunculu",12,0.88,Northway Games,0,0
Travellers Rest,Epic Games,PC,"Simülasyon, Kumanda Desteği, Eşli, Bağımsız, Tek Oyunculu, Basit Eğlence",16,5.59,Isolated Games,0,0
Islets,Epic Games,"PC, Konsol","Kumanda Desteği, Platform, Aksiyon-Macera, Keşif, Tek Oyunculu",7,6.4,Kyle Thompson,0,0
Are You Smarter Than A 5th Grader,Epic Games,PC,"Trivia, Basit Eğlence, Eşli",3,10.31,HandyGames,0,0
Saints Row,Epic Games,PC,"Kumanda Desteği, Nişancı, Aksiyon-Macera, Aksiyon, Eşli, Bulut Kayıtları, Açık Dünya, Tek Oyunculu, Macera",18,8.41,Deep Silver Volition,1,0
Yars: Recharged,Epic Games,"PC, Konsol","Kumanda Desteği, Nişancı, Aksiyon, Eşli, Tek Oyunculu",3,0.38,"AdamVision, SneakyBox",1,1
Way of the Hunter,Epic Games,"PC, Konsol","Simülasyon, Online Multiplayer, Eşli, Açık Dünya, Tek Oyunculu, Macera",16,23.58,Nine Rocks Games,0,0
Deflector,Epic Games,PC,"Tek Oyunculu, Zindan Tarayıcısı, Aksiyon, Rogue-lite",7,3.35,Arrowfist Games,0,0
Prince of Qin,Epic Games,PC,"RYO, Aksiyon-Macera, Aksiyon, Bulut Kayıtları, Tek Oyunculu",3,0.38,"Object Software, ZOOM Platform",0,0
A Tale of Paper: Refolded,Epic Games,PC,"Kumanda Desteği, Platform, Macera, Tek Oyunculu, Bulmaca",7,0.74,Open House Games,0,0
